ano;mes;data;semana_ano;semana_mes;canal;commodity;categoria;segmento;holding;banner;uf;cidade;regional;faturamento;qtd_toneladas;qtd_unidades;# Records
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;GUARATUBA;SUL;14,97;0,000389169;3;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;CER OLIVEIRA LTDA;CER OLIVEIRA LTDA;RS;CANOAS;SUL;58,17;0,001548574;15;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;COM DOIS IRMAOS SR LTDA;COM DOIS IRMAOS SR LTDA;SC;JOINVILLE;SUL;54,18;0,000873741;20;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;BISTEK SUPERM LTDA;BISTEK SUPERM LTDA;SC;CRICIUMA;SUL;894,58;0,026906372;251;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;BISTEK SUPERM LTDA;BISTEK SUPERM LTDA;SC;JOINVILLE;SUL;101,88;0,002823273;28;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;ARAPONGAS;SUL;2,58;5,02633E-05;2;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;SUPERM JACOMAR LTDA;SUPERM JACOMAR LTDA;PR;CURITIBA;SUL;355,56;0,008531107;90;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;BISTEK SUPERM LTDA;BISTEK SUPERM LTDA;SC;SAO JOSE;SUL;1183,43;0,036132674;323;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;CAVALIN BORA E CIA LTDA;CAVALIN BORA E CIA LTDA;PR;IRATI;SUL;111,95;0,003302299;35;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;CRICIUMA;SUL;11,94;0,000389471;3;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;BRUXELAS COM DE ALIM LTDA;BRUXELAS COM DE ALIM LTDA;PR;CAMBE;SUL;77,35;0,001850746;55;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;UBIRATA;SUL;32,61;0,0007454;11;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;ALPESTRE;SUL;7,48;0,000274878;2;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;SAO MATEUS DO SUL;SUL;8,58;0,000259446;2;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;MARECHAL CANDIDO RONDON;SUL;18,51;0,000530561;5;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;TONELLO E MACHADO LUZ LTDA;TONELLO E MACHADO LUZ LTDA;PR;PITANGA;SUL;8,95;0,000284578;3;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;RIO PARDO;SUL;9,38;0,000259446;2;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;SAO LOURENCO DO OESTE;SUL;18,95;0,000569357;5;1
2020;1;20/01/2020;4;3;VAREJO INDIRETO;FR;BISCOITOS;CASH CARRY REGULAR;SUPER LIDER ALIM EIRELI;SUPER LIDER ALIM EIRELI;SC;SOMBRIO;SUL;18,47;0,000516596;11;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;RIQUEZA;SUL;2,99;0,000129859;1;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;PALHOCA;SUL;44,6;0,00099074;10;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;S L COM DE GEN ALIM LTDA;LOJA VI;PR;ROLANDIA;SUL;104,32;0,003089869;48;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;BISTEK SUPERM LTDA;BISTEK SUPERM LTDA;SC;LAGES;SUL;144,61;0,004165;41;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;PLANALTINA DO PARANA;SUL;20;0,000402548;16;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;BISTEK SUPERM LTDA;BISTEK SUPERM LTDA;SC;COCAL DO SUL;SUL;75,12;0,002140097;20;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;PALMITOS;SUL;11,1;0,000309709;4;1
